tipo,titulo,direccion,precio,terreno,construccion,hab,baños,estac,pisc
Casa En Venta,Amplia Casa Conjunto Residencial Guaica House Sector Morro IIILecheria,"Morro III, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,150.0,150.0,3.0,3.0,3.0,False
Casa En Venta,Lujosa Villa En Venta,"Diego Bautista Urbaneja, Lechería, Anzoategui",1300000.0,800.0,800.0,6.0,6.0,6.0,True
Apartamento En Renta,Cómodo Y Lindo Apartamento En Alquiler En Guaica Real,"Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,86.0,86.0,2.0,2.0,2.0,True
Apartamento En Venta,"Apartamento En Venta, Conjunto Residencial Mochima Puerto La Cruz","APAMATES, Diego Bautista Urbaneja, Lechería, Anzoategui",18500.0,81.0,81.0,,,,False
Casa En Venta,Casas Bote C Moderna Y Amoblada,"Av. Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",420000.0,200.0,391.0,4.0,4.0,3.0,False
Town House En Venta,Amplio Y Confortable Townhause En El Conjunto Residencial Villas Monterrey,"Calle Mara, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,0.0,235.0,,,,False
Apartamento En Renta,APTO EN ALQUILER EN EL CONJUNTO RESIDENCIAL MARINA MAR,"AVENIDA BARLOVENTO, Diego Bautista Urbaneja, Lechería, Anzoategui",600.0,90.0,90.0,2.0,2.0,1.0,False
Apartamento En Venta,"Apartamento En Venta Conjunto Residencial ALTO ATLANTIS, Lecheria","Calle sur, Diego Bautista Urbaneja, Lechería, Anzoategui",43000.0,77.0,77.0,21.0,2.0,2.0,False
Town House En Renta,TOWNHOUSE EN ALQUILER EN LECHERIA CR LAS MARINAS,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,273.0,273.0,,,,False
Apartamento En Venta,"*Con Alto Potencial En Una De Las Zonas Mas Prestigiosas ,","Av, Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,180.0,180.0,,,,False
Apartamento En Venta,Cómodo Y Lindo Apartamento En Venta En Guaica Real,"Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,86.0,86.0,2.0,2.0,2.0,True
Apartamento En Renta,Hermoso Y Amplio Apartamento Con Hermosa Vista A La Ciudad,"Calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",650.0,98.0,98.0,3.0,2.0,2.0,True
Casa En Venta,VILLA VACACIONAL,"LAS VILLAS DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,1.964,1.964,,,,False
Apartamento En Venta,CONJUNTO RESIDENCIAL MARINA MAR,"Avenida La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",210000.0,229.0,229.0,,,,False
Town House En Venta,TOWNHOUSE EN VENTA N LECHERIA CR LAS MARINAS,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",255000.0,273.0,273.0,,,,False
Local En Renta,LOCAL COMERCIAL LECHERIA,"LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",750.0,170.0,170.0,,,,False
Town House En Venta,Town House Conjunto Residencial La Caleta,"AV: Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",85.0,72.0,72.0,,,,False
Apartamento En Venta,Conveniente Apartamento En El Conjunto Residencial Madre Vieja,"Av. Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",26000.0,0.0,92.0,,,,False
Local En Renta,"Local Comercial De 97m2 En Alquiler, Moderno Y Con Acabados De Primera","Avenida Bolivar, cruce con calle los almendrones, Diego Bautista Urbaneja, Lechería, Anzoategui",950.0,97.0,97.0,,,,False
Oficinas En Venta,Oficina En Venta En El Centro Empresarial Colon,"calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,57.0,57.0,,,,False
Casa En Venta,CASA EN VENTA EN EL CR CASAS BOTES C,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",350000.0,215.0,215.0,,,,False
Casa En Renta,CASA EN ALQUILER EN LECHERIA CR CASAS BOTES C,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",2000.0,215.0,215.0,,,,False
Apartamento En Renta,Apartamento Moderno En Alquiler En Conjunto Residencial Punta Canal,"Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,82.0,82.0,2.0,2.0,2.0,True
Apartamento En Renta,Hermoso Apartamento En La Avenida Bolivar De Lechería Residencias Karol,"AV BOLIVAR, Diego Bautista Urbaneja, Lechería, Anzoategui",450.0,75.0,75.0,,,,False
Apartamento En Renta,Apartamento En Alquiler,"Complejo Turistico El Morro, Diego Bautista Urbaneja, Lechería, Anzoategui",1400.0,112.0,112.0,3.0,2.0,2.0,True
Apartamento En Venta,Exclusivo Apartamento En Residencias Lido Suites,"8 la cuidad de Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",100000.0,70.0,70.0,2.0,2.0,2.0,True
Apartamento En Venta,Apartamento En Venta 3 Habitaciones Lechería,"Sector Venecia, Diego Bautista Urbaneja, Lechería, Anzoategui",19000.0,86.0,86.0,,,,False
Local En Renta,Te Ofrece En Alquiler Local Comercial En Lecheria,"carrera 7 con carrera 5, Diego Bautista Urbaneja, Lechería, Anzoategui",250.0,28.0,28.0,,,,False
Town House En Renta,Bello Townhouse En Alquiler En Aguamarina,"Diego Bautista Urbaneja, Lechería, Anzoategui",700.0,103.0,103.0,3.0,2.0,2.0,True
Apartamento En Venta,VENTA APARTAMENTO EN CONJ RESD LAS MARINAS LECHERIA,"Diego Bautista Urbaneja, Lechería, Anzoategui",100000.0,84.0,84.0,,,,False
Casa En Renta,Villa Para Alquiler En Cayo De Agua,"Calle Principal, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,132.0,132.0,,,,False
Casa En Renta,En Alquiler Hermosa Y Comoda Casas Bote B,"Av Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,202.0,202.0,3.0,3.0,1.0,True
Apartamento En Venta,APARTAMENTO EN VENTA LECHERIA EDIFICIO TOSCANA,"CASCO CENTRAL, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,63.0,63.0,,,,False
Apartamento En Renta,"Apartamento En Residencial Punta Marina, Lechería","el morro, Diego Bautista Urbaneja, Lechería, Anzoategui",1300.0,117.0,117.0,3.0,4.0,2.0,True
Casa En Venta,Amplia Casa Ubicada Detrás Del Centro Comercial Mar Pacifico En Lecheria,"Calle Los Apamates, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,235.0,235.0,,,,False
Apartamento En Renta,HERMOSO Y COMODO APARTAMENTO AMOBLADO Y EQUIPADO EN ALQUILER LECHERIA,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,72.0,72.0,2.0,2.0,2.0,False
Local En Renta,AMPLIO LOCAL COMERCIAL PLANTA BAJA EN ALQUILER MAR PACIFICO LECHERIA,"AV PRINCIPAL LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",1200.0,85.0,85.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA C.R CHIMANA,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",220000.0,238.0,238.0,,,,False
Apartamento En Renta,Se Ofrece En Alquiler Un Cómodo Apartamento En Residencias Pocholo,"Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,82.0,82.0,,,,False
Apartamento En Venta,Apartamento Para Remodelar Residencia Maya,"principal de lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",35000.0,113.0,113.0,1.0,2.0,1.0,False
Local En Renta,Consultorio Medico En Alquiler,"Calle Mariño, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,18.0,18.0,,,,False
Apartamento En Venta,BELLO APARTAMENTO EN AVENTURA PLAZA,"Avenida principal de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,75.0,75.0,2.0,2.0,1.0,False
Apartamento En Renta,"Hermoso Apartamento En La Mejor Zona De Lechería, Amoblado Y Equipado","Complejo Turístico el Morro, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,90.0,90.0,2.0,2.0,2.0,True
Oficinas En Renta,Oficinas Centro Empresarial Colon,"Diego Bautista Urbaneja, Lechería, Anzoategui",650.0,57.0,57.0,,,,False
Galpon En Renta,Se Alquila Galpón En Lechería,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",3000.0,800.0,800.0,,,,False
Apartamento En Venta,"En Venta Hermoso Apartamento En Res. Nicole Suites, Excelente Ubicacion","Calle arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",85000.0,173.0,173.0,5.0,3.0,2.0,False
Local En Renta,LOCAL CC ANNA,"avenida principal lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,50.0,50.0,,,,False
Local En Venta,Centro Comercial Palm Beach,"arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",70000.0,27.0,27.0,,,,False
Casa En Venta,CASA EN VENTA C.R CASAS BOTE B,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",220000.0,190.0,190.0,,,,False
Casa En Renta,CASA EN ALQUILERC.R CASAS BOTE B,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1300.0,190.0,190.0,,,,False
Apartamento En Venta,Apartamento En Venta Residencias Karla Valentina Lecharía Anzoátegui,"Playa mansa Av. BOULEVARD, con Avenida piritu urbanización el morro, Diego Bautista Urbaneja, Lechería, Anzoategui",65000.0,125.0,125.0,,,,False
Apartamento En Venta,Moderno Y Acojedor Apartamento En El Conjunto Residencial Albacora,"Av. Libertad, Diego Bautista Urbaneja, Lechería, Anzoategui",150000.0,0.0,180.0,,,,False
Apartamento En Renta,Amplio Apartamento En Alquiler En El Conjunto Residencial Isla Marina,"Av. La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",2000.0,0.0,168.0,4.0,3.0,1.0,True
Apartamento En Venta,CONJUNTO RESIDENCIAL PLAYA MAR - CÁLIDA VISTA AL MAR.,"Avenida principal aguavilla lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",89000.0,106.0,106.0,,,,False
Apartamento En Venta,Hermoso Apartamento En El Conjunto Residencial Pueblo Viejo,"AV. AMÉRICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",60000.0,56.0,58.0,1.0,1.0,1.0,False
Apartamento En Venta,El Hogar Que Sueñas En La Ciudad De Lecheria,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,100.0,100.0,3.0,3.0,2.0,True
Local En Renta,Local Comercial Con Excelente Ubicación Centro Comercial Aventura Plaza,"Avenida Principal, Diego Bautista Urbaneja, Lechería, Anzoategui",250.0,10.0,10.0,,,,False
Town House En Renta,Remodelada Y A Estrenar TH En Puerto Príncipe En Alquiler,"Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,125.0,125.0,3.0,2.0,1.0,True
Town House En Venta,Remodelada Y A Estrenar TH En Puerto Principe En Venta,"Puerto Principe, Diego Bautista Urbaneja, Lechería, Anzoategui",117000.0,125.0,125.0,3.0,2.0,1.0,True
Apartamento En Venta,Cómodo Apartamento En Venta Planta Baja,"Sector el Peñonal, Diego Bautista Urbaneja, Lechería, Anzoategui",45000.0,75.0,75.0,,,,False
Local En Renta,Local Centro Comercial Armas,"calle 5, Diego Bautista Urbaneja, Lechería, Anzoategui",250.0,16.0,16.0,,,,False
Apartamento En Renta,CONJUNTO RESIDENCIAL MARINA MAR,"SECTOR LA PENINSULA, Diego Bautista Urbaneja, Lechería, Anzoategui",180.0,229.0,229.0,,,,False
Town House En Venta,CONJUNTO RESIDENCIAL VILLA MARTINIQUE,"AVENIDA R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,125.0,125.0,3.0,3.0,2.0,True
Apartamento En Renta,RESIDENCIAS PELICANO,"AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",450.0,89.0,89.0,,,,False
Apartamento En Venta,SE Vende Apartamento En Playa Lido. Residencia La Esmeralda,"PLAYA LIDO, Diego Bautista Urbaneja, Lechería, Anzoategui",37000.0,43.0,43.0,1.0,1.0,1.0,False
Town House En Venta,Town House En Venta En El Conjunto Residencial Cayo De Agua,"AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",130000.0,140.0,140.0,4.0,3.0,1.0,True
Apartamento En Venta,Amplio Y Cómodo Apartamento Con Ubicación Estratégica,"Calle El Dorado, Diego Bautista Urbaneja, Lechería, Anzoategui",43000.0,87.0,87.0,,,,False
Apartamento En Renta,RESIDENCIAS ISAJOR,"calle nueva esparta cruce con calle la marina, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,55.0,55.0,,,,False
Apartamento En Venta,Inmueble De Lujo Con Acabados De Lujo,"Av Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",145000.0,99.0,99.0,,,,False
Town House En Venta,HERMOSA CASA EN PUERTO PRINCIPE,"AVENIDA CAMEJO OCTAVIO, Diego Bautista Urbaneja, Lechería, Anzoategui",240000.0,121.0,250.0,4.0,4.0,1.0,False
Apartamento En Venta,"A Estrenar Con Acabados De Primera, En Lecheria","Av Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,86.0,86.0,,,,False
Oficinas En Venta,Oficina Corporativa En Torre BVC,"Avenida Intercomunal Jorge Rodriguez, Diego Bautista Urbaneja, Lechería, Anzoategui",930000.0,1.059,1.059,,,,False
Edificio En Venta,"En Alquiler, Local De 45mts, 1 P/E , 1 Baño","CALLES LAS PEÑAS, Diego Bautista Urbaneja, Lechería, Anzoategui",49500.0,45.0,45.0,,,,False
Local En Venta,"En Venta Local Comercial De 52 Mts, 1 Baños, 1 Puesto De Estacionamiento","Calle las Peñas, Diego Bautista Urbaneja, Lechería, Anzoategui",57500.0,52.0,52.0,,,,False
Casa Bote En Renta,CASA EN CASAS BOTE C,"Avenida Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",1100.0,140.0,140.0,3.0,4.0,2.0,False
Apartamento En Renta,APARTAMENTO VACACIONAL EN PUERTO PRINCIPE,"AVENIDA DANIEL CAMEJO OCTAVIO, Diego Bautista Urbaneja, Lechería, Anzoategui",70.0,70.0,70.0,2.0,2.0,2.0,True
Apartamento En Renta,APARTAMENTO VACACIONAL EN AVILAMARES,"AVENIDA R16, Diego Bautista Urbaneja, Lechería, Anzoategui",750.0,160.0,90.0,2.0,2.0,1.0,False
Town House En Renta,TOWNHOUSE EN ALQUILER VACACIONAL EN LECHERIA C.R VILLAS MARTINIQUE,"AV R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",130.0,125.0,125.0,,,,False
Town House En Renta,TOWNHOUSE EN ALQUILER EN LECHERIA C.R VILLAS MARTINIQUE,"AV R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",1100.0,125.0,125.0,3.0,3.0,0.0,False
